era,pregunta,opcion_1,opcion_2,opcion_3,opcion_4,correcta,fact
Pueblos originarios,¿Cómo se llamaba el juego ecuestre indígena que los conquistadores bautizaron 'la chueca'?,Uiñu o palín,El truquiflor,La cinchada,El nepún,0,Los mapuches lo llamaban uiñu o palín; solía dirimir conflictos según crónicas coloniales.
Pueblos originarios,¿Quién prohibió la chueca en 1602?,El Papa,Hernandarias,Bartolomé Mitre,Juan Manuel de Rosas,1,Hernandarias la prohibió por considerarla "inventada por el demonio".
Colonia,¿En qué año se ubica la primera crónica del juego de pato?,1610,1700,1806,1853,0,Un sacerdote describió en 1610 una escena considerada la primera mención del pato.
Colonia,¿Quién declaró el pato como deporte nacional en 1953?,Domingo Sarmiento,Bartolomé Mitre,Juan Domingo Perón,Hipólito Yrigoyen,2,El decreto 17.468 de Perón lo nombró deporte nacional.
Invasiones inglesas,El general Beresford tras 1806 se convirtió en...,Árbitro de cricket,Tenista de la Argentina,Jinete de polo,Boxeador profesional,1,Jugaba tenis en Luján durante su cautiverio.
Invasiones inglesas,¿Quién publicó un artículo pionero sobre natación en 1805?,Juan Hipólito Vieytes,Bartolomé Mitre,Domingo Sarmiento,Carlos Pellegrini,0,Vieytes promovía la natación en su Semanario.
Gran inmigración,¿Cuándo se jugó el primer partido de fútbol en Argentina?,1867,1880,1901,1913,0,El 20 de junio de 1867 en Palermo.
Gran inmigración,¿Cuándo ganó Alumni sus campeonatos?,1891-1900,1901-1911,1920-1930,1934-1940,1,Alumni dominó el fútbol argentino en esa década.
Fundación criolla,¿Qué club marca la fundación criolla según Archetti?,Boca Juniors,River Plate,Racing Club,Independiente,2,Racing sin jugadores británicos marcó el cambio cultural.
Fundación criolla,¿Qué define el estilo criollo?,Disciplina táctica,La gambeta,Juego aéreo,Defensa cerrada,1,La creatividad individual y la gambeta.
Polo y estancias,¿Cuándo ganó Argentina su primer oro en polo?,Amberes 1920,París 1924,Berlín 1936,Londres 1948,1,Venció a Inglaterra y EE.UU. en 1924.
Automovilismo,Fangio de joven trabajaba como...,Mecánico y piloto,Boxeador,Polo,Periodista,0,Trabajó desde joven en talleres mecánicos.
Boxeo,¿Quién peleó contra Dempsey en 1923?,Justo Suárez,Luis Ángel Firpo,Pascual Pérez,Carlos Monzón,1,Firpo casi vence a Dempsey en Nueva York.
Boxeo,¿Contra quién fue campeón mundial Monzón?,Nino Benvenuti,Ike Williams,Jack Dempsey,Arturo Godoy,0,Venció en Roma en 1970.
Dictadura,¿Quién fue DT campeón del Mundial 1978?,Carlos Bilardo,César Luis Menotti,Osvaldo Zubeldía,Juan Carlos Lorenzo,1,Menotti priorizaba el talento sobre la fuerza.